Pid      Process              Block      Variable                       Value
-------- -------------------- ---------- ------------------------------ -----
     836 svchost.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
     836 svchost.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
     836 svchost.exe          0x00010000 COMPUTERNAME                   XPBASELINE
     836 svchost.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     836 svchost.exe          0x00010000 FP_NO_HOST_CHECK               NO
     836 svchost.exe          0x00010000 NUMBER_OF_PROCESSORS           1
     836 svchost.exe          0x00010000 OS                             Windows_NT
     836 svchost.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
     836 svchost.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
     836 svchost.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
     836 svchost.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
     836 svchost.exe          0x00010000 PROCESSOR_LEVEL                6
     836 svchost.exe          0x00010000 PROCESSOR_REVISION             4501
     836 svchost.exe          0x00010000 ProgramFiles                   C:\Program Files
     836 svchost.exe          0x00010000 SystemDrive                    C:
     836 svchost.exe          0x00010000 SystemRoot                     C:\WINDOWS
     836 svchost.exe          0x00010000 TEMP                           C:\WINDOWS\TEMP
     836 svchost.exe          0x00010000 TMP                            C:\WINDOWS\TEMP
     836 svchost.exe          0x00010000 USERPROFILE                    C:\WINDOWS\system32\config\systemprofile
     836 svchost.exe          0x00010000 windir                         C:\WINDOWS
     920 svchost.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
     920 svchost.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
     920 svchost.exe          0x00010000 COMPUTERNAME                   XPBASELINE
     920 svchost.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     920 svchost.exe          0x00010000 FP_NO_HOST_CHECK               NO
     920 svchost.exe          0x00010000 NUMBER_OF_PROCESSORS           1
     920 svchost.exe          0x00010000 OS                             Windows_NT
     920 svchost.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
     920 svchost.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
     920 svchost.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
     920 svchost.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
     920 svchost.exe          0x00010000 PROCESSOR_LEVEL                6
     920 svchost.exe          0x00010000 PROCESSOR_REVISION             4501
     920 svchost.exe          0x00010000 ProgramFiles                   C:\Program Files
     920 svchost.exe          0x00010000 SystemDrive                    C:
     920 svchost.exe          0x00010000 SystemRoot                     C:\WINDOWS
     920 svchost.exe          0x00010000 TEMP                           C:\DOCUME~1\NETWOR~1\LOCALS~1\Temp
     920 svchost.exe          0x00010000 TMP                            C:\DOCUME~1\NETWOR~1\LOCALS~1\Temp
     920 svchost.exe          0x00010000 USERDOMAIN                     NT AUTHORITY
     920 svchost.exe          0x00010000 USERNAME                       NETWORK SERVICE
     920 svchost.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\NetworkService
     920 svchost.exe          0x00010000 windir                         C:\WINDOWS
    1012 svchost.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1012 svchost.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1012 svchost.exe          0x00010000 COMPUTERNAME                   XPBASELINE
    1012 svchost.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
